time,position,velocity,acceleration,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11
0.0,2370.58418132441,4.09288194444444,0.414829848587358,1,1,0,0,0,0,0,0,0,0,0
0.1,2371.10485203331,4.16252105198369,0.392610271879297,1,1,0,0,0,0,0,0,0,0,0
0.2,2371.63317613296,4.22467908060643,0.373546036569808,1,1,0,0,0,0,0,0,0,0,0
0.3,2372.16384322743,4.29839949580706,0.359830578783875,1,1,0,0,0,0,0,0,0,0,0
0.4,2372.70350889888,4.41731770833333,0.349747542587376,1,1,0,0,0,0,0,0,0,0,0
0.5,2373.24931461187,4.48133680555556,0.337998851984787,1,1,1,1,0,0,0,0,0,0,0
0.6,2373.79690362894,4.53776041666667,0.326701599979904,1,1,1,1,0,0,0,0,0,0,0
0.7,2374.34915507716,4.59309895833333,0.340049992689261,1,1,1,1,0,0,0,0,0,0,0
0.8,2374.90968781889,4.66069287081018,0.326500059670234,1,1,1,1,0,0,0,0,0,0,0
0.9,2375.47532502297,4.70765624677175,0.310381869673854,1,1,1,1,0,0,0,0,0,0,0
1.0,2376.04647015871,4.75710305725079,0.297844882120839,1,1,1,1,0,0,0,0,0,0,0
1.1,2376.62082873874,4.83335341846596,0.280254000286839,1,1,1,1,0,0,0,0,0,0,0
1.2,2377.19867513194,4.93815104166667,0.277839536667652,1,1,1,1,0,0,0,0,0,0,0
1.3,2377.78344686616,4.98480902777778,0.262256538090249,1,1,1,1,0,0,0,0,0,0,0
1.4,2378.3706971081,4.98480902777778,0.253667186868226,1,1,1,1,0,0,0,0,0,0,0
1.5,2378.96316841893,5.10633680555556,0.224762523985386,1,1,1,1,0,0,0,0,0,0,0
1.6,2379.55981749483,5.16435827263329,0.215212316314734,1,1,1,1,0,0,0,0,0,0,0
1.7,2380.15991085409,5.21592881944444,0.193250243598335,1,1,1,1,0,0,0,0,0,0,0
1.8,2380.76323538178,5.27302570220549,0.157010577266015,1,1,1,1,0,0,0,0,0,0,0
1.9,2381.36861874218,5.3205482351949,0.16061008801306,1,1,1,1,0,0,0,0,0,0,0
2.0,2381.97294844485,5.41124131944444,0.158917239080578,1,1,1,1,0,0,0,0,0,0,0
2.1,2382.57842990689,5.41124131944444,0.140205628720285,1,1,1,1,0,0,0,0,0,0,0
2.2,2383.1802135753,5.46382793617981,0.116761592068218,1,1,1,1,0,0,0,0,0,0,0
