time,velocity,position
3.0,5.8,2386.3900000000017
3.1,5.82,2386.971000000002
3.2,5.84,2387.5540000000015
3.3000000000000003,5.86,2388.1390000000015
3.4000000000000004,5.88,2388.7260000000015
3.5000000000000004,5.9,2389.3150000000014
3.6000000000000005,5.92,2389.9060000000013
3.7000000000000006,5.94,2390.499000000001
3.8000000000000007,5.96,2391.094000000001
3.900000000000001,5.98,2391.691000000001
4.000000000000001,6.000000000000001,2392.290000000001
4.100000000000001,6.080000000000001,2392.894000000001
4.200000000000001,6.160000000000001,2393.5060000000008
4.300000000000001,6.24,2394.1260000000007
4.400000000000001,6.320000000000001,2394.754000000001
4.500000000000002,6.400000000000001,2395.390000000001
4.600000000000001,6.480000000000001,2396.0340000000006
4.700000000000001,6.5600000000000005,2396.6860000000006
4.800000000000002,6.6400000000000015,2397.3460000000005
4.900000000000002,6.7200000000000015,2398.014
5.000000000000002,6.800000000000001,2398.69
5.100000000000001,6.8500000000000005,2399.3725
5.200000000000002,6.9,2400.06
5.3000000000000025,6.950000000000001,2400.7525
5.400000000000002,7.000000000000001,2401.45
5.500000000000002,7.050000000000001,2402.1524999999997
5.600000000000002,7.100000000000001,2402.8599999999997
5.700000000000003,7.150000000000001,2403.5724999999998
5.8000000000000025,7.200000000000001,2404.2899999999995
5.900000000000002,7.250000000000001,2405.0124999999994
6.000000000000003,7.3,2405.7399999999993
6.100000000000003,7.3015,2406.4700749999993
6.200000000000003,7.303,2407.200299999999
6.3000000000000025,7.3045,2407.930674999999
6.400000000000003,7.306,2408.661199999999
6.5000000000000036,7.3075,2409.391874999999
6.600000000000003,7.309,2410.122699999999
6.700000000000003,7.3105,2410.853674999999
6.800000000000003,7.312,2411.5847999999987
6.900000000000004,7.3135,2412.3160749999984
7.0000000000000036,7.315,2413.0474999999983
7.100000000000003,7.3165000000000004,2413.7790749999986
7.200000000000004,7.318,2414.510799999998
7.300000000000004,7.3195,2415.242674999998
7.400000000000004,7.321,2415.974699999998
7.5000000000000036,7.3225,2416.706874999998
7.600000000000004,7.324,2417.439199999998
7.700000000000005,7.3255,2418.171674999998
7.800000000000004,7.327,2418.904299999998
7.900000000000004,7.3285,2419.637074999998
8.000000000000004,7.46624011010672,2420.3699999999976
8.100000000000005,7.489588466934162,2421.1176994161565
8.200000000000005,7.515957040981482,2421.867950234814
8.300000000000004,7.545660640619135,2422.6210019849727
8.400000000000006,7.579025070961011,2423.3772043912936
8.500000000000005,7.61638078146728,2424.136940052391
